연도,월,소비액_억원,전년도_소비액_억원,전년대비_증감률,축제시즌구분,축제월여부,월별_증감률_순위
2020,1,1119.0,1094.1,2.3,비축제기간,N,1
2020,2,806.2,1006.6,-19.9,비축제기간,N,6
2020,3,748.1,1210.4,-38.2,비축제기간,N,11
2020,4,866.9,1129.3,-23.2,비축제기간,N,7
2020,5,1030.9,1283.1,-19.7,비축제기간,N,5
2020,6,924.2,1217.2,-24.1,비축제기간,N,8
2020,7,949.3,1130.1,-16.0,비축제기간,N,3
2020,8,850.2,1176.7,-27.7,비축제기간,N,10
2020,9,876.7,1173.5,-25.3,축제직전월,N,9
2020,10,1071.0,1252.5,-14.5,축제기간(3일),Y,2
2020,11,1079.6,1322.4,-18.4,축제직후월,N,4
2020,12,730.2,1337.5,-45.4,비축제기간,N,12
2021,1,861.0,1119.0,-23.1,비축제기간,N,12
2021,2,833.1,806.2,3.3,비축제기간,N,4
2021,3,938.3,748.1,25.4,비축제기간,N,2
2021,4,927.3,866.9,7.0,비축제기간,N,3
2021,5,1057.5,1030.9,2.6,비축제기간,N,6
2021,6,951.8,924.2,3.0,비축제기간,N,5
2021,7,870.5,949.3,-8.3,비축제기간,N,11
2021,8,826.6,850.2,-2.8,비축제기간,N,10
2021,9,898.6,876.7,2.5,축제직전월,N,7
2021,10,1048.7,1071.0,-2.1,축제기간(3일),Y,9
2021,11,1074.4,1079.6,-0.5,축제직후월,N,8
2021,12,979.7,730.2,34.2,비축제기간,N,1
2022,1,975.8,861.0,13.3,비축제기간,N,9
2022,2,774.4,833.1,-7.1,비축제기간,N,12
2022,3,913.3,938.3,-2.7,비축제기간,N,11
2022,4,1080.3,927.3,16.5,비축제기간,N,8
2022,5,1235.1,1057.5,16.8,비축제기간,N,6
2022,6,1111.1,951.8,16.7,비축제기간,N,7
2022,7,1144.1,870.5,31.4,비축제기간,N,1
2022,8,1066.1,826.6,29.0,비축제기간,N,2
2022,9,1135.6,898.6,26.4,축제직전월,N,3
2022,10,1304.5,1048.7,24.4,축제기간(3일),Y,5
2022,11,1097.3,1074.4,2.1,축제직후월,N,10
2022,12,1237.0,979.7,26.3,비축제기간,N,4
2023,1,1046.7,975.8,7.3,비축제기간,N,3
2023,2,1005.2,774.4,29.8,비축제기간,N,2
2023,3,1188.5,913.3,30.1,비축제기간,N,1
2023,4,1130.9,1080.3,4.7,비축제기간,N,4
2023,5,1168.9,1235.1,-5.4,비축제기간,N,10
2023,6,1069.7,1111.1,-3.7,비축제기간,N,8
2023,7,1072.9,1144.1,-6.2,비축제기간,N,11
2023,8,1022.0,1066.1,-4.1,비축제기간,N,9
2023,9,1106.5,1135.6,-2.6,축제직전월,N,7
2023,10,1172.2,1304.5,-10.1,축제기간(3일),Y,12
2023,11,1075.6,1097.3,-2.0,축제직후월,N,6
2023,12,1214.8,1237.0,-1.8,비축제기간,N,5
2024,1,1040.5,1046.7,-0.6,비축제기간,N,7
2024,2,1004.7,1005.2,-0.1,비축제기간,N,6
2024,3,1170.1,1188.5,-1.5,비축제기간,N,8
2024,4,1075.4,1130.9,-4.9,비축제기간,N,12
2024,5,1113.6,1168.9,-4.7,비축제기간,N,11
2024,6,1093.0,1069.7,2.2,비축제기간,N,5
2024,7,1033.4,1072.9,-3.7,비축제기간,N,10
2024,8,1089.1,1022.0,6.6,비축제기간,N,2
2024,9,1153.3,1106.5,4.2,축제직전월,N,3
2024,10,1255.2,1172.2,7.1,축제기간(3일),Y,1
2024,11,1118.8,1075.6,4.0,축제직후월,N,4
2024,12,1184.0,1214.8,-2.5,비축제기간,N,9
2025,1,1052.1,1040.5,1.1,비축제기간,N,2
2025,2,926.9,1004.7,-7.7,비축제기간,N,10
2025,3,1137.3,1170.1,-2.8,비축제기간,N,5
2025,4,1039.5,1075.4,-3.3,비축제기간,N,6
2025,5,1154.6,1113.6,3.7,비축제기간,N,1
2025,6,1030.0,1093.0,-5.8,비축제기간,N,9
2025,7,1026.5,1033.4,-0.7,비축제기간,N,3
2025,8,1042.7,1089.1,-4.3,비축제기간,N,8
2025,9,1039.7,1153.3,-9.9,축제기간(8일),Y,11
2025,10,1131.2,1255.2,-9.9,축제기간(8일),Y,11
2025,11,1104.7,1118.8,-1.3,축제직후월,N,4
2025,12,1139.0,1184.0,-3.8,비축제기간,N,7
